epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.856,1.21377,3.69787,1.60652,0.01908,0.66667,0.15688,0.10573,0.84489,4.31882,1.44638,0.0001428,0.0001428,0.0001428
2,210.686,1.04709,3.53058,1.49511,0.01541,0.96667,0.28263,0.18994,0.87845,4.23594,1.45564,0.000286944,0.000286944,0.000286944
3,318.573,0.98339,3.19515,1.44632,0.93022,0.02,0.35519,0.2596,0.99813,3.99031,1.65198,0.00042515,0.00042515,0.00042515
4,420.984,1.01537,2.96882,1.44921,0.58323,0.22099,0.38362,0.25792,1.18922,3.68817,1.95826,0.000557418,0.000557418,0.000557418
5,525.776,1.08422,2.67378,1.48838,0.48816,0.41054,0.32101,0.1899,1.27126,3.72431,2.03147,0.000657451,0.000657451,0.000657451
6,629.056,1.06875,2.48902,1.45879,0.36835,0.41833,0.28784,0.19457,1.51447,4.01391,2.20967,0.000643314,0.000643314,0.000643314
7,730.126,1.04442,2.25949,1.47053,0.57594,0.43766,0.4567,0.322,1.05872,4.10867,1.78798,0.000629177,0.000629177,0.000629177
8,831.283,0.97737,2.12177,1.42562,0.47398,0.54386,0.47787,0.34289,0.99167,3.33964,1.66917,0.00061504,0.00061504,0.00061504
9,932.836,0.99662,1.90395,1.42541,0.62413,0.38388,0.47194,0.35473,0.9537,3.15779,1.66695,0.000600902,0.000600902,0.000600902
10,1033.46,1.00237,1.90895,1.41431,0.47336,0.46667,0.44425,0.28997,1.3688,3.38805,2.03479,0.000586765,0.000586765,0.000586765
11,1134.07,0.96165,1.8099,1.3738,0.46008,0.58123,0.53902,0.39759,1.10636,2.79889,1.77525,0.000572628,0.000572628,0.000572628
12,1235.16,0.94068,1.70925,1.37141,0.58165,0.55038,0.54453,0.31767,1.11626,3.32783,1.78989,0.000558491,0.000558491,0.000558491
